State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Months,Temperature,Rainfall,Humidity,Sun hours
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Dry chillies,7.881559917,8.285513309,0.915459257,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Grapes,5.513428746,8.638525477,3.171792705,March,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Mango,9.072456665,11.22061938,2.258629967,April,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Sunflower,9.000853147,8.809713541,0.602125486,October,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Tomato,8.003697339,11.39212413,3.421943572,January,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Cabbage,2.48490665,5.33753808,2.98659979,September,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Dry chillies,3.33220451,4.007333185,1.098612289,July,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Sunflower,8.684739463,7.965545573,0.39679969,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Tomato,8.15564927,11.29642232,3.18337661,August,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Banana,9.066700922,13.08959635,4.040749547,April,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Potato,4.418840608,7.073269717,2.732941089,May,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Cabbage,2.397895273,4.820281566,2.587764035,September,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Dry chillies,7.937374696,9.379998755,1.654973326,April,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Grapes,5.736572297,8.837390856,3.147800342,August,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Mango,9.330697869,11.16958973,1.986508168,July,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Potato,2.772588722,5.641907071,2.982309253,October,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Sunflower,8.530504205,7.074116816,0.209389707,March,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Tomato,8.288283045,11.63723825,3.383707972,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Cabbage,1.098612289,3.258096538,2.602689685,October,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Dry chillies,4.828313737,5.96100534,1.416088025,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Potato,4.356708827,7.274479559,2.982002081,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Sunflower,8.127699853,7.404279118,0.395373007,January,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Tomato,8.340933226,11.37430687,3.080619787,October,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,1997,Kharif     ,Dry chillies,6.398594935,6.685860947,0.84729786,February,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,1997,Kharif     ,Sunflower,7.170888479,6.398594935,0.379489622,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,1997,Rabi       ,Dry chillies,8.006700845,7.650168701,0.530628251,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,1997,Rabi       ,Sunflower,6.803505258,5.993961427,0.36772478,March,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,1998,Kharif     ,Dry chillies,6.398594935,6.803505258,0.916290732,May,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,1998,Kharif     ,Sunflower,6.908754779,6.552507887,0.530628251,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,1998,Rabi       ,Dry chillies,8.07121854,8.318986125,0.824723538,October,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,1998,Rabi       ,Sunflower,6.685860947,5.707110265,0.318453731,November,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,1999,Kharif     ,Sunflower,7.096721378,6.552507887,0.457393385,April,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,1999,Whole Year ,Dry chillies,8.122964715,8.510973892,0.905910635,August,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2000,Kharif     ,Dry chillies,6.259581464,6.647688374,0.906279096,November,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2000,Kharif     ,Sunflower,6.284134161,6.109247583,0.60935915,September,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2000,Rabi       ,Dry chillies,7.892452044,8.025189322,0.761741368,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2000,Whole Year ,Banana,6.860663671,9.853982133,3.043172404,February,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2000,Whole Year ,Potato,6.864847778,9.009202901,2.255955602,February,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2001,Kharif     ,Dry chillies,6.095824562,6.464588304,0.894843412,July,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2001,Kharif     ,Sunflower,7.214504414,7.071573364,0.624180608,October,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2001,Rabi       ,Dry chillies,7.992606652,8.435983136,0.939283323,July,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2001,Whole Year ,Banana,6.913737351,8.875846178,2.094379169,August,5.081265151,0.006009385,2.255553986,2.998331192
